Timestamp,Gender,caffeine,hot_iced,sweetness,Cups_day
4/3/2024 18:14:07,Male,Coffee,Hot,0,1
4/3/2024 18:14:21,Male,Coffee,Hot,7,1
4/3/2024 18:14:23,Male,Coffee,Iced,0,3
4/3/2024 18:14:33,Female,Tea,Iced,2,1
4/3/2024 18:14:42,Female,Coffee,Hot,5,2
4/3/2024 18:14:57,Male,Tea,Hot,9,1
4/3/2024 18:15:12,Female,Coffee,Iced,9,1
4/3/2024 18:15:28,Female,Tea,Hot,1,1
4/3/2024 18:15:39,Male,Tea,Hot,5,2
4/3/2024 18:18:50,Female,Tea,Hot,5,2
4/3/2024 18:19:51,Female,Tea,Iced,0,3
4/3/2024 18:20:01,Female,Tea,Hot,1,2
4/3/2024 18:20:13,Male,Coffee,Hot,0,2
4/3/2024 18:20:28,Female,Coffee,Iced,2,1
4/3/2024 18:20:43,Male,Coffee,Hot,0,1
4/3/2024 18:21:00,Female,Tea,Hot,5,1
4/3/2024 18:21:11,Male,Tea,Iced,0,1
4/3/2024 18:21:37,Male,Tea,Hot,0,2
4/3/2024 18:31:37,Female,Coffee,Iced,5,3
4/3/2024 18:34:55,Male,Coffee,Iced,3,1
4/3/2024 18:35:00,Female,Coffee,Iced,2,7
4/3/2024 18:40:10,Male,Coffee,Hot,3,1
4/3/2024 19:02:17,Female,Coffee,Hot,2,3
4/3/2024 19:06:49,Female,Tea,Hot,6,1
4/3/2024 19:12:44,Female,Tea,Iced,4,1
4/3/2024 19:33:34,Female,Coffee,Iced,0,1
4/3/2024 19:36:20,Female,Tea,Hot,0,1
4/3/2024 19:39:36,Female,Tea,Hot,0,2
4/3/2024 19:41:30,Female,Coffee,Hot,3,4
4/3/2024 19:59:41,Male,Coffee,Hot,4,1
4/3/2024 20:05:30,Female,Coffee,Iced,8,1
4/3/2024 20:05:38,Female,Coffee,Iced,4,2
4/3/2024 20:15:02,Male,Tea,Hot,7,2
4/3/2024 20:31:41,Female,Coffee,Iced,7,1
4/3/2024 20:32:51,Male,Coffee,Hot,5,1
4/3/2024 20:35:19,Female,Coffee,Hot,5,1
4/3/2024 20:35:51,Female,Coffee,Iced,0,1
4/3/2024 21:00:33,Male,Coffee,Hot,6,1
4/3/2024 21:07:54,Male,Coffee,Iced,8,2
4/3/2024 23:11:05,Female,Coffee,Iced,7,1
4/4/2024 0:04:15,Female,Coffee,Iced,5,1
4/4/2024 8:46:45,Female,Coffee,Hot,0,2
4/4/2024 8:46:50,Female,Tea,Hot,0,2
4/4/2024 9:04:48,Female,Tea,Hot,0,2
4/4/2024 10:03:02,Male,Tea,Hot,2,1
4/4/2024 10:13:59,Female,Coffee,Iced,2,2
4/4/2024 10:54:51,Male,Coffee,Hot,6,3
4/4/2024 10:55:03,Female,Tea,Iced,4,3
4/4/2024 10:55:10,Female,Coffee,Iced,5,2
4/4/2024 10:55:12,Female,Tea,Iced,3,2
4/4/2024 10:55:21,Female,Tea,Hot,3,6
4/4/2024 10:55:29,Female,Tea,Iced,5,6
4/4/2024 10:55:38,Male,Tea,Hot,2,2
4/4/2024 10:55:49,Male,Coffee,Iced,3,4
4/4/2024 10:55:59,Female,Tea,Iced,6,4
4/4/2024 10:56:07,Female,Tea,Iced,3,4
4/4/2024 10:56:17,Female,Tea,Hot,4,4
4/4/2024 10:56:26,Male,Tea,Iced,4,4
4/4/2024 10:56:36,Female,Tea,Hot,5,5
4/4/2024 10:56:43,Female,Coffee,Hot,3,3
4/4/2024 10:56:52,Female,Tea,Iced,1,1
4/4/2024 10:57:00,Female,Tea,Hot,1,3
4/4/2024 10:57:12,Female,Tea,Hot,10,3
4/4/2024 10:57:23,Female,Tea,Hot,4,4
4/4/2024 10:57:31,Female,Coffee,Hot,1,3
4/4/2024 10:57:44,Female,Coffee,Iced,1,2
4/4/2024 10:57:53,Male,Tea,Iced,5,5
4/4/2024 10:58:04,Female,Coffee,Iced,5,4
4/4/2024 11:12:04,Male,Coffee,Iced,0,1
4/4/2024 11:12:12,Male,Tea,Iced,2,3
4/4/2024 11:12:23,Male,Coffee,Iced,6,6
4/4/2024 11:12:31,Male,Coffee,Hot,2,3
4/4/2024 11:12:40,Male,Tea,Iced,2,2
4/4/2024 11:12:50,Male,Coffee,Iced,3,2
4/4/2024 11:13:05,Female,Tea,Iced,0,1
4/4/2024 11:13:13,Female,Coffee,Hot,5,7
4/4/2024 11:13:25,Male,Coffee,Hot,6,8
4/4/2024 11:13:33,Female,Coffee,Iced,0,1
4/4/2024 11:13:41,Male,Coffee,Hot,3,2
4/4/2024 11:13:52,Female,Coffee,Iced,5,4
4/4/2024 11:13:59,Male,Coffee,Hot,8,4
4/4/2024 11:14:07,Male,Coffee,Hot,9,6
4/4/2024 11:14:15,Male,Tea,Hot,5,2
4/4/2024 11:14:31,Male,Coffee,Hot,5,2
4/4/2024 11:14:43,Male,Coffee,Iced,4,2
4/4/2024 11:16:04,Male,Coffee,Hot,3,1
4/4/2024 11:16:11,Male,Coffee,Iced,1,3
4/4/2024 11:16:21,Male,Coffee,Iced,6,6
4/4/2024 11:16:31,Female,Coffee,Iced,9,8
4/4/2024 11:16:58,Female,Coffee,Hot,1,2
4/5/2024 10:07:48,Male,Coffee,Iced,8,1
4/5/2024 10:11:18,Male,Tea,Hot,6,1
